model                    ,RMSE               ,MAE
"ARIMA(3,1,3)"           ,120.02952212831703 ,103.52087755558318
"ARIMA(3,1,3) + Precip"  ,143.78428820998653 ,125.60474786495678
"ARIMA(3,1,3) + T2m"     ,146.23047835577103 ,129.23956200444275
"ARIMA(3,1,3) + Weather" ,153.25974214300402 ,137.1485826781643
"SARIMA(2,1,1)(1,1,0)"   ,232.42522761734517 ,210.02702689556762
"SARIMA(4,1,1)(1,1,0)"   ,218.2098948837076  ,197.89731496798308
"SARIMA(2,0,1)(1,1,0)"   ,263.37124399141754 ,225.59733219359137
arima_411110_precip      ,199.7057467108139  ,177.11188303827763
arima_411110_t2m         ,218.69583913456802 ,187.09653345328607
auto_arima_weather       ,271.43060656208837 ,237.23932171759535

Prophet additive         ,629.7951265057941  ,619.8039341727542
Prophet multiplicative   ,613.4157230757384  ,597.8354292073662
Prophet + Precip         ,624.6023498605045  ,610.80592097149
Prophet + T2m            ,633.393604151197   ,622.0817387813486
Prophet + Weather        ,632.915505742342   ,620.9419316267962
Prophet + holidays       ,632.3025566122175  ,623.0748716268505
