model,RMSE,MAE
Poisson,733.8713082709949,729.5685268100386
Poisson lagged,768.1174053662776,732.3493664504024
Poisson T2m lagged 1,697.5262844599526,686.6669481722334
Poisson T2m lagged 2,683.5563585150561,676.0436975491957
Poisson T2m lagged 3,667.1820157110386,666.5795062219496
Poisson T2m lagged 4,682.0010756841803,677.5259700616111
Poisson T2m lagged 5,733.5582697403162,726.5987076174623
Poisson T2m lagged 6,762.6083710377923,756.3261500271642
Poisson T2m lagged 7,755.0576924068115,750.0869614395476
Poisson T2m lagged 8,745.5442589248474,743.6813509494906
Poisson T2m lagged 9,745.7443083961505,743.9305920111789
Poisson T2m lagged 10,755.6378499469215,751.7336972457126
Poisson T2m lagged 11,763.2240443795095,760.0611528425352
Poisson T2m lagged 12,757.4975454005073,754.0244638614342
Poisson T2m lagged 13,755.8431195885214,753.8499241286123
Poisson T2m lagged 14,750.3149073173122,746.9466351757987
Poisson T2m lagged 15,749.0714790314386,746.2253762633785
Poisson T2m lagged 16,751.228426574188,748.5222861678334
Poisson T2m lagged 17,764.6431764064773,762.0244217828636
Poisson T2m lagged 18,778.9862393557254,775.9892465054959
Poisson T2m lagged 19,788.0622359318879,783.710018575194
Poisson T2m lagged 20,785.7251386978647,782.7677569954526
Poisson T2m lagged 21,784.7707816639512,782.8668268000902
Poisson T2m lagged 22,792.6820118984534,790.4911577715944
Poisson T2m lagged 23,801.3882384222883,796.1901933010367
Poisson T2m lagged 24,801.410377482978,797.5832193562396
Poisson T2m lagged 25,805.1505870843421,803.6179170749258
Poisson T2m lagged 26,802.6953305510418,800.010176640085
Poisson T2m lagged 27,820.7980601745944,817.5509524361653
Poisson T2m lagged 28,818.1626920968363,813.0534238379323
Poisson T2m lagged 29,802.1162852730029,798.9056329220284
Poisson T2m lagged 30,788.4072337481733,785.7281281344415
Poisson T2m lagged 31,766.3519610196131,762.441297577627
Poisson T2m lagged 32,764.7111875016818,762.564961618931
Poisson T2m lagged 33,747.5694819026047,742.2015811637023
Poisson T2m lagged 34,720.5283517305277,714.8686808596872
Poisson T2m lagged 35,708.8738235712448,706.3120794293623
Poisson T2m lagged 36,693.4721389143326,690.190420155373
Poisson T2m lagged 37,687.432538570904,681.633687105011
Poisson T2m lagged 38,699.4718478650782,696.5647653769487
Poisson T2m lagged 39,718.9824054234234,716.0540783661036
Poisson T2m lagged 40,746.9959569600703,744.1762396428658
Poisson T2m lagged 41,764.6613612210522,761.6374172724971
Poisson T2m lagged 42,775.5542127954034,773.2042353713131
Poisson T2m lagged 43,778.7020984102492,776.0173664057613
Poisson T2m lagged 44,796.1413927061972,793.754596969588
Poisson T2m lagged 45,813.620062603693,809.7463027706269
Poisson T2m lagged 46,820.0150499312712,816.9499048664165
Poisson T2m lagged 47,799.6511971529521,791.2127777675405
Poisson T2m lagged 48,711.2478179309408,679.3601805893483
Poisson T2m lagged 49,639.2873983713577,625.2249047089531
Poisson T2m lagged 50,589.0109774682652,576.9313821917343
Poisson T2m lagged 51,583.0203504497623,561.2961479782438
Poisson T2m lagged 52,634.1779700804848,630.7012969348546
Poisson Precip lagged 1,784.5970149208849,780.7162840695779
Poisson Precip lagged 2,762.2615468724797,755.6934142078187
Poisson Precip lagged 3,753.8409377803198,752.8131163181733
Poisson Precip lagged 4,759.4988807678311,755.5079374924146
Poisson Precip lagged 5,785.6315081358861,775.5169989596318
Poisson Precip lagged 6,841.125954111533,837.5241982332049
Poisson Precip lagged 7,769.071975607803,716.7963596065564
Poisson Precip lagged 8,702.3247408023977,672.1621327489229
Poisson Precip lagged 9,697.4238699013481,663.8119983779062
Poisson Precip lagged 10,719.61723623958,664.8890055382292
Poisson Precip lagged 11,796.3881826463614,784.8315714501939
Poisson Precip lagged 12,789.2244801438077,781.8651700269453
Poisson Precip lagged 13,778.233880907404,777.1485494242452
Poisson Precip lagged 14,715.3498247904215,698.0458781128782
Poisson Precip lagged 15,721.0182368217309,716.4867800547921
Poisson Precip lagged 16,665.1372162342324,616.5446024378525
Poisson Precip lagged 17,608.2925615550068,593.2090293315889
Poisson Precip lagged 18,638.9593632941143,625.422912891096
Poisson Precip lagged 19,640.9316264635873,627.9552101975119
Poisson Precip lagged 20,704.9089121805846,701.6951587146149
Poisson Precip lagged 21,716.4633147291024,712.8756259202739
Poisson Precip lagged 22,698.5002338292234,687.8473127549165
Poisson Precip lagged 23,700.1673736345319,698.8794325956933
Poisson Precip lagged 24,718.2219713712833,715.2114185468096
Poisson Precip lagged 25,734.3724268237481,730.6366507266067
Poisson Precip lagged 26,764.9628226099933,761.6075618692823
Poisson Precip lagged 27,790.6571816719234,786.9164510449276
Poisson Precip lagged 28,795.7358536936326,790.8527213849895
Poisson Precip lagged 29,769.2853624395422,765.7875264639645
Poisson Precip lagged 30,772.0908246638143,771.4454927308788
Poisson Precip lagged 31,761.0475572876808,754.0238342850412
Poisson Precip lagged 32,800.864527088477,798.115514124263
Poisson Precip lagged 33,832.496044734119,826.2643829824299
Poisson Precip lagged 34,822.8445089354828,816.0806255309922
Poisson Precip lagged 35,826.3992282420176,820.0983898571321
Poisson Precip lagged 36,805.3361649673692,804.4477694189915
Poisson Precip lagged 37,777.7087294084288,766.7273629762435
Poisson Precip lagged 38,728.2811588290327,718.2691031173833
Poisson Precip lagged 39,695.6592863847441,687.8399496410026
Poisson Precip lagged 40,641.2303115053411,638.6554369684243
Poisson Precip lagged 41,640.1648067952398,636.7945441135599
Poisson Precip lagged 42,657.1338681135525,655.0624760277165
