model,RMSE,CRPS
AR(10),121.96131839767041,86.90873205659712
MA(6),258.39347709969434,194.3716228843489
"ARIMA(3,1,3)",152.44309646823595,99.83686648061739
"ARIMA(3,1,3) + t2m",143.02193116882353,95.06217368199259
"ARIMA(3,1,3) + precip",150.28484169722174,98.79393007230678
"ARIMA(2,1,4) + rh",157.99041763754602,102.34364086311622
"ARIMA(3,1,3) + t2m + tp",144.02983687992906,95.55887981064755
"ARIMA(3,1,3) + t2m + rh",146.04258489171707,96.14892341430617
"ARIMA(2,1,4) + tp + rh",156.24301034187587,101.55478207372948
"ARIMA(3,1,3) + t2m + tp + rh",146.1459982585664,96.26295977770643
"SARIMA(1,0,1)(1,1,0)",131.7029707489397,88.92623218141968
"SARIMA(1,1,0)(1,0,2) + t2m",130.99159275678852,90.90088556034024
"SARIMA(1,0,1)(1,1,0) + precip",131.91934771274092,88.37998844427408
"SARIMA(1,0,1)(1,1,0) + rh",136.15904322757228,90.97274165741929
"SARIMA(0,1,5)(1,0,0) + weather",144.26845742434028,94.80521098358138
Prophet additive,240.56154616984458,179.13490471757353
Prophet multiplicative,211.4897643285152,155.14003490605893
Prophet multiplicative + mean 2m temperature,211.27582473140683,155.03638523977492
Prophet multiplicative + total precipitation,213.27682989561507,155.47940693806834
Prophet multiplicative + mean relative humidity,209.67923198567675,155.53672979575228
Prophet multiplicative + all covariables,211.60804216047885,156.03295798215962
Prophet multiplicative + holidays,211.53944110976332,153.09938993672213
