model,RMSE,CRPS
LR + hb,91.59612431730179,57.971605655240054
LR + mx2t24,78.09152215456209,52.1212125565992
LR + mn2t24,78.10206749579847,52.866566875677165
LR + mxrh24,90.6018932071041,58.531766596652744
LR + mnrh24,89.9646215813465,57.84398649797639
LR + mxsh24,88.84486005264539,56.364673575163515
LR + mnsh24,89.53479029481873,56.604926056448576
LR + precip,91.46752333092553,57.86043680770774
LR + rh,90.23044889254204,58.06004559341913
LR + sh,88.84752578307041,56.307249568352695
LR + ssdr,85.01426650120361,55.47530531971095
LR + t2m,78.91940615233553,52.523969381628625
LR + ws,96.2986181913915,62.10548342013028
MLR + all weather covar,83.89104572395944,53.60022483829319
MLR + stepwise selected weather covar,83.38323810744602,53.32386361289213
MLR + linear trend,61.93328157370348,39.46689042307819
MLR + nonlinear trend,59.51414241324947,36.9779017385616
MLR + seasonal dummy + trend,56.66886009612914,36.43982512349459
MLR + fourier + trend,56.6688600961293,36.439825123494614
Poisson,85.73963903057981,63.131643764705885
