model,RMSE,MAE
ARIMA,164.1292733802541,128.1095090723357
ARIMA + t2m,151.9696341137842,116.76634547183995
ARIMA + precip,163.61673104682805,127.57740156989135
ARIMA + rh,167.81668248410725,130.78351140067315
ARIMA + t2m + tp,154.97051996877138,120.04838948175446
ARIMA + t2m + rh,158.88765872524166,125.24246618167828
ARIMA + tp + rh,167.10659158316784,130.57359931442582
ARIMA + t2m + tp + rh,159.29297038909127,125.30705235662968
SARIMA,143.36197142468296,102.93897121530938
Prophet additive,291.63597620443954,216.66000294580152
Prophet multiplicative,376.7695891203786,282.77992559462314
Prophet additive,291.63597620443954,216.66000294580152
Prophet additive,291.63597620443954,216.66000294580152
Prophet additive,291.63597620443954,216.66000294580152
Prophet additive + mean 2m temperature,316.8121375205446,229.20376226061856
Prophet additive + total precipitation,285.71681354688315,209.10255983176995
Prophet additive + mean relative humidity,300.0749429480531,218.7169869262686
Prophet additive + holiday,292.4429141636078,216.13411622573625
